"","User.Id","Registered","Name","E.mail","Age","Gender","Country","Custom","Custom.Text","Optin","Organisation","How.many.times..if.ever..you.participated.at.conference.","What.is.your.favorite.cuisine.","What.is.your.favorite.TV.show.","What.is.your.favorite.music.genre.","Which.music.festival.or.concert.if.any.have.you.been.to.in.May.","Which.music.festival.or.concert.if.any.have.you.been.to.in.April.","Which.music.festival.or.concert.if.any.are.you.going.to.this.summer.","Name.those.course.participants.with.whom.you.are.friends.","X"
"1",3183878,"23-5-2017 11:38:32",1,NA,24,"Male","NL",NA,NA,0,NA,"Two times","Thai","3 op reis","Electronic Music","Rewind","Daisy","Pleinvrees am strand","10, 48, 64, 57",NA
"2",3183908,"23-5-2017 11:39:02",2,NA,0,"","NL",NA,NA,0,NA,"Never","Greek","pretty little liars","Electronic Music","Bevrijdingsfestival","Oranjebloesem","Solar","18, 14, 48",NA
"3",3183891,"23-5-2017 11:38:42",3,NA,22,"Female","NL",NA,NA,0,NA,"Once","Spanish","Outlander","Electronic Music","None","Tilburg zingt","Decibel","9, 70, 26, 6",NA
"4",3183896,"23-5-2017 11:38:48",4,NA,21,"Female","NL",NA,NA,0,NA,"Once","Italian","","","","","","57",NA
"5",3183873,"23-5-2017 11:38:27",5,NA,0,"","",NA,NA,0,NA,"Two times","Japanese","Temptation Island","Dance Music","Soenda","","The Flying Dutch","74, 75, 76, 77, 46",NA
"6",3183899,"23-5-2017 11:38:51",6,NA,22,"Male","NL",NA,NA,0,NA,"Never","Italian","Voetbal Inside","Pop (Popular music)","","","","11, 26, 3, 9",NA
"7",3183901,"23-5-2017 11:38:52",7,NA,20,"Female","NL",NA,NA,0,NA,"Never","Italian","Temptation Island/ Ex on the Beach","Pop (Popular music)","Stadhuisstraat Cantus","Stadhuisstraat Cantus","Eindejaars Cantus","83, 84, 52, 86, 15, 25, 17, 47, 33, 1, 56",NA
"8",3183871,"23-5-2017 11:38:26",8,NA,24,"Male","NL",NA,NA,0,NA,"Once","Italian","Formula 1","Electronic Music","","","","25, 17, 96, 16, 26, 40, 100, 56, 36, 43, 30, 105, 106",NA
"9",3183885,"23-5-2017 11:38:37",9,NA,24,"Female","NL",NA,NA,0,NA,"3-5","Italian","Game of Thrones","Pop (Popular music)","none","none","Pinkpop / 90's on the Beach / Summerlake","3, 11, 6, 26",NA
"10",3183892,"23-5-2017 11:38:43",10,NA,22,"Male","NL",NA,NA,0,NA,"Never","Italian","GOT","Dance Music","Rewind","","","1, 22, 113, 114, 29, 49, 9, 20, 19",NA
"11",3183902,"23-5-2017 11:38:53",11,NA,25,"","AF",NA,NA,0,NA,"10+","Italian","Spongebob Squarepants","Dance Music","EMPORIUM","","Matrixx at the Park","120, 121, 122, 123",NA
"12",3183905,"23-5-2017 11:38:57",12,NA,0,"Female","",NA,NA,0,NA,"Two times","Italian","Wie is de mol","Dance Music","","","","57",NA
"13",3183887,"23-5-2017 11:38:39",13,NA,0,"","",NA,NA,0,NA,"Once","Greek","","Hip Hop Rap","","","Latin village","57",NA
"14",3183882,"23-5-2017 11:38:37",14,NA,23,"Female","NL",NA,NA,0,NA,"Never","Italian","Gossip girl","Pop (Popular music)","","","Linkin park","18, 2, 48",NA
"15",3183862,"23-5-2017 11:38:07",15,NA,20,"Female","NL",NA,NA,0,NA,"Never","Greek","Temptation Island/Ex on the beach","Pop (Popular music)","Stadhuisstraatcantus","Stadhuisstraatcantus","Lakedance","52, 25, 17, 47, 133",NA
"16",3183888,"23-5-2017 11:38:39",16,NA,24,"Male","NL",NA,NA,0,NA,"3-5","Thai","Temptation Island","Pop (Popular music)","John Mayer","Gentstudent","Gentstudent","134",NA
"17",3183884,"23-5-2017 11:38:37",17,NA,22,"Male","NL",NA,NA,0,NA,"Two times","Italian","Game of Thrones","Opera","Gentstudent","Gentstudent","Gentstudent","134, 16, 96, 17",NA
"18",3183863,"23-5-2017 11:38:08",18,NA,19,"Female","NL",NA,NA,0,NA,"3-5","Italian","modern family","Pop (Popular music)","","","flying dutch","14, 2, 48, 46",NA
"19",3183875,"23-5-2017 11:38:30",19,NA,54,"Female","AF",NA,NA,0,NA,"Never","Indonesian","Bones","Indie Pop","Rewind","Vunzige deuntjes","Solar","57",NA
"20",3183876,"23-5-2017 11:38:32",20,NA,22,"Female","NL",NA,NA,0,NA,"Never","Spanish","New Girl","R&B Soul","","","","19, 49, 29, 113, 9, 10, 22, 114, 43, 30",NA
"21",3183866,"23-5-2017 11:38:19",21,NA,22,"Female","NL",NA,NA,0,NA,"Never","Italian","Expeditie Robinson","Pop (Popular music)","Pleinfestival Kaatsheuvel","","7th Sunday","40, 23, 156, 26",NA
"22",3183898,"23-5-2017 11:38:49",22,NA,21,"Female","NL",NA,NA,0,NA,"Never","Italian","Gtst","Pop (Popular music)","Ik had geen leven door school","Nothing","Emporium, dream fields, solar","10, 114, 29, 9, 19, 20, 49",NA
"23",3183881,"23-5-2017 11:38:37",23,NA,22,"Female","NL",NA,NA,0,NA,"Never","","Expeditie robinson","Pop (Popular music)","Pleinfestival","","Flying dutch","21, 156, 26, 40",NA
"24",3183890,"23-5-2017 11:38:42",24,NA,20,"Female","NL",NA,NA,0,NA,"Never","Thai","Orphan Black","Alternative Music","John Mayer","","Lowlands","57",NA
"25",3183868,"23-5-2017 11:38:21",25,NA,23,"Male","NL",NA,NA,0,NA,"3-5","Mexican","Studio Voetbal","Rock","","","Pinkpop","8, 16, 17, 96",NA
"26",3183867,"23-5-2017 11:38:21",26,NA,22,"Male","NL",NA,NA,0,NA,"Never","Indonesian","","Dance Music","ploegendienst","nassau festival","strafwerk","40, 156, 23, 21, 17, 8, 25",NA
"27",3183879,"23-5-2017 11:38:34",27,NA,0,"","",NA,NA,0,NA,"Never","Japanese","Ex on the beach","Electronic Music","Soenda","","Awakenings","46, 5",NA
"28",3183886,"23-5-2017 11:38:37",28,NA,20,"Female","CO",NA,NA,0,NA,"5-10","Italian","Orange is the new black","Pop (Popular music)","Kingsland","Kingsland","Justin bieber","57",NA
"29",3183864,"23-5-2017 11:38:17",29,NA,22,"Female","NL",NA,NA,0,NA,"3-5","Spanish","","Dance Music","Armin van Buuren","Paaspop","Schijndel aan zee","49, 9, 20, 19, 113, 22, 190, 10",NA
"30",3183906,"23-5-2017 11:39:00",30,NA,0,"","",NA,NA,0,NA,"Two times","Greek","Breaking Bad","Classical Music","Tommy's concert","","Kempenfestival / Paperclip","192, 43",NA
"31",3183880,"23-5-2017 11:38:35",31,NA,0,"","",NA,NA,0,NA,"Never","Greek","Grey's anatomy","Pop (Popular music)","","","","32, 53",NA
"32",3183874,"23-5-2017 11:38:28",32,NA,0,"","",NA,NA,0,NA,"Never","Italian","","Pop (Popular music)","","","Zomerparkfeesten","31, 53",NA
"33",3183877,"23-5-2017 11:38:32",33,NA,0,"","",NA,NA,0,NA,"5-10","Japanese","Temptation island","R&B Soul","","","7th Sunday","198, 199, 200",NA
"34",3183865,"23-5-2017 11:38:19",9,NA,23,"Female","NL",NA,NA,0,NA,"5-10","Spanish","Game of Thrones","Rock","Dire Straits","Kingsland","U2 Concert","49, 29, 20, 19, 114, 22, 113, 10",NA
"35",3183913,"23-5-2017 11:39:16",35,NA,21,"Male","NL",NA,NA,0,NA,"Once","Thai","Keenan & Kell","R&B Soul","Rewind","Rewind","None","57",NA
"36",3183889,"23-5-2017 11:38:41",36,NA,0,"","",NA,NA,0,NA,"Once","Chinese","Game of thrones","Dance Music","","","Paperclip","30, 50",NA
"37",3183870,"23-5-2017 11:38:25",37,NA,0,"","",NA,NA,0,NA,"Never","Italian","","Pop (Popular music)","","","","57",NA
"38",3183907,"23-5-2017 11:39:00",38,NA,20,"Female","NL",NA,NA,0,NA,"Never","Chinese","","Alternative Music","","","Pinkpop","39, 59, 215, 198",NA
"39",3183897,"23-5-2017 11:38:49",39,NA,0,"","",NA,NA,0,NA,"Never","Italian","","Alternative Music","","","","38, 59, 198, 215",NA
"40",3183912,"23-5-2017 11:39:16",40,NA,22,"Male","NL",NA,NA,0,NA,"Never","Italian","Meiden van holland","Electronic Music","Kamasutrabeurs","SM beurs","South west 4","26, 42, 21, 23, 156, 17, 16",NA
"41",3183916,"23-5-2017 11:39:34",41,NA,21,"Female","AO",NA,NA,0,NA,"Never","Japanese","New Kids","Electronic Music","Django Wagner on tour","Pussy Lounge","René Schuurmans in de Kersouwe","25, 47",NA
"42",3183915,"23-5-2017 11:39:28",42,NA,20,"Male","NL",NA,NA,0,NA,"Never","Indonesian","Meiden van Holland","Latin Music","Kamasutrabeurs","SM beurs","Latin village","46, 40, 5, 27",NA
"43",3183904,"23-5-2017 11:38:56",43,NA,23,"Male","NL",NA,NA,0,NA,"Two times","Chinese","The Walking Dead","Pop (Popular music)","Elfsom","","Zand","50, 30, 36",NA
"44",3183894,"23-5-2017 11:38:45",44,NA,20,"Male","AF",NA,NA,0,NA,"Never","Italian","","","None","","","57",NA
"45",3183914,"23-5-2017 11:39:24",45,NA,20,"Female","NL",NA,NA,0,NA,"Never","Italian","Take me out","Hip Hop Rap","None","None","Sziget","238, 239, 49",NA
"46",3183893,"23-5-2017 11:38:45",46,NA,20,"Female","NL",NA,NA,0,NA,"Never","Italian","Gossip Girl","Pop (Popular music)","","","Concert at Sea","5, 27, 42",NA
"47",3183895,"23-5-2017 11:38:46",47,NA,20,"Male","NL",NA,NA,0,NA,"Once","Mexican","Blacklist","Dance Music","","","","17, 25, 246, 54, 15, 52",NA
"48",3183872,"23-5-2017 11:38:26",48,NA,20,"Female","NL",NA,NA,0,NA,"Two times","Italian","Designated survivor","Pop (Popular music)","Sleeptouw","Vijzelgracht","Full Moon","1, 2, 14, 18, 5, 255, 256, 46",NA
"49",3183911,"23-5-2017 11:39:13",49,NA,21,"Female","NL",NA,NA,0,NA,"Two times","Greek","Game of Thrones","Pop (Popular music)","-","Kingsland","Concert at Sea","29, 9, 22, 114, 113, 10, 19, 20",NA
"50",3183917,"23-5-2017 11:39:45",50,NA,22,"Female","NL",NA,NA,0,NA,"Two times","Chinese","","Electronic Music","","Paaspop","Solar","43, 36, 30",NA
"51",3183869,"23-5-2017 11:38:21",49,NA,20,"Female","NL",NA,NA,0,NA,"Never","Italian","Friends","Indie Pop","","","","57",NA
"52",3183909,"23-5-2017 11:39:03",52,NA,0,"","",NA,NA,0,NA,"Never","Italian","","","stadhuisstraatcantus","Kingsland Den Bosch","","57",NA
"53",3183883,"23-5-2017 11:38:37",53,NA,0,"","",NA,NA,0,NA,"Once","Italian","Grey's Anatomy","Pop (Popular music)","","Racoon","","31, 32",NA
"54",3183910,"23-5-2017 11:39:04",54,NA,21,"Male","NL",NA,NA,0,NA,"3-5","Chinese","Top Gear","","None","Dat Ding#0475","Solar","246, 274, 1, 276, 47, 17, 25, 52, 15, 282",NA
"55",3183903,"23-5-2017 11:38:54",26,NA,22,"Male","NL",NA,NA,0,NA,"3-5","Italian","The Walking Dead","Pop (Popular music)","","","","11, 6, 3, 9",NA
"56",3183900,"23-5-2017 11:38:52",56,NA,22,"Male","NL",NA,NA,0,NA,"3-5","Italian","3 op reis","Indie Pop","Soenda","Daisy","Lowlands","12, 156, 21, 23, 291, 292, 100, 83, 7, 40",NA
"57",3183918,"23-5-2017 11:40:05",57,NA,0,"Male","",NA,NA,0,NA,"","Italian","Top gear","Rock","","Dream theater","Mike portnoy's shattered fortress","17, 47, 15, 52",NA
"58",3183919,"23-5-2017 11:41:14",58,NA,22,"Male","CZ",NA,NA,0,NA,"","Mexican","Californication","New Age","","","","301, 59, 303",NA
"59",3183920,"23-5-2017 11:41:18",59,NA,23,"Female","NL",NA,NA,0,NA,"","","wie is de mol","Pop (Popular music)","Bevrijdingsfestival Zoetermeer","Koningsdag Tilburg","","301, 58, 38, 39, 215, 198",NA
"60",3183921,"23-5-2017 11:41:28",58,NA,22,"Male","NL",NA,NA,0,NA,"","","Sense8","Dance Music","Bevrijdingsfestival","","Blanck","310, 58",NA
"61",3183922,"23-5-2017 11:48:00",57,NA,0,"","",NA,NA,0,NA,"","","","","","","","83, 7",NA
